Knapsack weight cap = 1863

Items:
i	w	v
0	15	12
1	37	11
2	48	28
3	16	80
4	39	82
5	49	81
6	8	102
7	17	86
8	41	94
9	54	93
10	51	23
11	20	19
12	51	65
13	39	45
14	18	103
15	15	103
16	5	35
17	45	109
18	13	34
19	48	43
20	36	67
21	48	104
22	27	59
23	34	81
24	15	99
25	53	68
26	25	51
27	15	77
28	34	56
29	12	92
30	34	86
31	51	26
32	13	38
33	19	51
34	18	99
35	51	37
36	8	86
37	12	83
38	14	11
39	8	16
40	31	86
41	27	36
42	18	47
43	37	22
44	29	87
45	33	16
46	39	71
47	47	83
48	53	86
49	37	108
50	18	95
51	13	36
52	16	36
53	25	53
54	10	18
55	25	37
56	13	96
57	36	64
58	47	22
59	6	95
60	19	51
61	41	15
62	42	67
63	36	85
64	13	60
65	14	66
66	13	40
67	30	78
68	6	38
69	46	99
70	36	35
71	17	62
72	28	94
73	7	43
74	9	46
75	10	27
76	15	105
77	14	93
78	40	94
79	14	78
80	42	63
81	52	28
82	39	61
83	31	67
84	15	24
85	52	24
86	33	28
87	28	58
88	6	27
89	12	42
90	21	50
91	9	44
92	5	98
93	34	62
94	46	69
95	19	46
96	41	84
97	10	59
98	17	35
99	23	32
